AgentName,TestPhase,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Agent1,Pre,31,43,40,10,49
Agent2,Pre,40,44,43,16,50
Agent3,Pre,25,31,38,21,38
Agent1,Pre,31,43,40,10,49
Agent2,Pre,40,44,43,16,50
Agent3,Pre,25,31,38,21,38
Agent1,Pre,31,43,40,10,49
Agent2,Pre,40,44,43,16,50
Agent3,Pre,25,31,38,21,38
Agent1,Pre,31,43,40,10,49
Agent2,Pre,40,44,43,16,50
Agent3,Pre,25,31,38,21,38
Agent1,Pre,31,43,40,10,49
Agent2,Pre,40,44,43,16,50
Agent3,Pre,25,31,38,21,38
Agent1,Pre,27,36,41,16,49
Agent2,Pre,40,40,40,18,50
Agent3,Pre,27,30,39,20,36
Agent1,Pre,27,36,41,16,49
Agent2,Pre,40,40,40,18,50
Agent3,Pre,27,30,39,20,36
Agent1,Pre,27,36,41,16,49
Agent2,Pre,40,40,40,18,50
Agent3,Pre,27,30,39,20,36
Agent1,Pre,27,36,41,16,49
Agent2,Pre,40,40,40,18,50
Agent3,Pre,27,30,39,20,36
Agent1,Pre,27,36,41,16,49
Agent2,Pre,40,40,40,18,50
Agent3,Pre,27,30,39,20,36
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent1,Pre,28,41,38,12,47
Agent2,Pre,38,44,37,14,47
Agent3,Pre,27,32,41,21,33
Agent1,Pre,28,41,38,12,47
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,12,30,35,24,23
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,12,30,35,24,23
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
Agent1,Pre,28,31,32,27,37
Agent2,Pre,26,31,29,28,36
Agent3,Pre,24,31,32,24,37
Agent1,Pre,27,34,31,24,40
Agent2,Pre,27,29,31,26,39
Agent3,Pre,29,27,30,28,39
Agent1,Pre,25,33,29,22,38
Agent2,Pre,30,30,29,23,40
Agent3,Pre,26,29,31,25,37
Agent1,Pre,25,33,29,22,38
Agent2,Pre,30,30,29,23,40
Agent3,Pre,26,29,31,25,37
Agent1,Pre,25,33,29,22,38
Agent2,Pre,30,30,29,23,40
Agent3,Pre,26,29,31,25,37
Agent1,Pre,28,41,39,11,46
Agent2,Pre,39,44,42,13,49
Agent3,Pre,27,28,42,21,35
